r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
40.62054,100,58.310813,0.71,2.0,40.62,0.17,83.0,17.0,61.0,9.0,4.0,9.0,452.03,10.94,17.42,0.29,0.64
48.743675,100,59.032284,0.82,3.0,48.74,0.13,87.0,13.0,52.0,10.0,12.0,13.0,320.55,5.49,19.98,0.18,0.66
47.392605,100,59.559825,0.82,0.0,47.39,0.18,82.0,18.0,55.0,11.0,11.0,5.0,215.87,10.89,13.93,0.18,0.65
52.93888,100,60.172511,0.93,2.0,52.94,0.17,83.0,17.0,53.0,12.0,7.0,11.0,260.27,4.15,25.83,0.07,0.47
49.441273,100,60.915459,-1.0,7.0,49.44,0.16,84.0,16.0,64.0,8.0,8.0,4.0,388.82,4.86,22.58,0.2,0.57
37.312828,100,61.545352,0.84,4.0,37.31,0.24,76.0,24.0,50.0,14.0,6.0,6.0,425.75,4.9,20.7,0.16,0.69
45.343193,100,62.116242,-1.0,7.0,45.34,0.18,82.0,18.0,58.0,8.0,10.0,6.0,513.47,7.75,15.08,0.13,0.57
42.212635,100,62.9266,0.84,5.0,42.21,0.2,80.0,20.0,63.0,7.0,8.0,2.0,535.2,6.79,29.41,0.16,0.51
51.198418,100,63.724389,0.83,1.0,51.2,0.13,87.0,13.0,56.0,4.0,13.0,14.0,397.56,9.37,14.27,0.17,0.75
65.02249,100,64.485376,0.84,3.0,65.02,0.09,91.0,9.0,63.0,10.0,12.0,6.0,489.16,5.67,25.02,0.16,0.75
23.611235,100,65.140445,-1.0,6.0,23.61,0.27,73.0,27.0,44.0,12.0,10.0,7.0,284.55,7.69,13.13,0.32,0.7
46.057453,100,65.862807,0.73,3.0,46.06,0.14,86.0,14.0,61.0,9.0,6.0,10.0,593.06,11.09,15.17,0.27,0.6
43.87526,100,66.673811,0.83,4.0,43.88,0.18,82.0,18.0,56.0,9.0,12.0,5.0,571.55,14.05,9.16,0.17,0.67
43.40302,100,67.216332,0.88,0.0,43.4,0.21,79.0,21.0,56.0,11.0,7.0,5.0,381.9,7.03,26.66,0.12,0.75
46.65375,100,67.720769,0.71,0.0,46.65,0.12,88.0,12.0,62.0,12.0,10.0,4.0,490.47,5.27,20.74,0.29,0.5
38.657356,100,68.382354,0.81,6.0,38.66,0.2,80.0,20.0,53.0,5.0,10.0,12.0,467.5,3.58,26.35,0.19,0.46
43.542652,100,69.073234,-1.0,6.0,43.54,0.2,80.0,20.0,55.0,8.0,8.0,9.0,380.93,3.71,26.95,0.11,0.6
36.70254,100,70.086971,0.72,4.0,36.7,0.19,81.0,19.0,56.0,7.0,8.0,10.0,559.17,4.56,22.98,0.28,0.64
49.368637,100,71.075701,-1.0,6.0,49.37,0.11,89.0,11.0,59.0,8.0,12.0,10.0,459.64,8.74,15.57,0.27,0.93
44.19878,100,71.973402,0.76,6.0,44.2,0.17,83.0,17.0,55.0,11.0,8.0,9.0,325.14,1.65,25.93,0.24,0.93
45.64118,100,72.791557,0.79,3.0,45.64,0.13,87.0,13.0,59.0,9.0,8.0,11.0,366.78,9.71,20.95,0.21,0.85
46.76141,100,73.380528,0.85,1.0,46.76,0.18,82.0,18.0,60.0,10.0,6.0,6.0,383.83,6.65,17.71,0.15,0.76
46.514416,100,74.192137,0.72,1.0,46.51,0.14,86.0,14.0,57.0,10.0,7.0,12.0,484.06,4.36,23.64,0.28,0.53
48.591274,100,75.155008,0.83,1.0,48.59,0.18,82.0,18.0,52.0,11.0,10.0,9.0,378.27,10.42,12.34,0.17,0.75
38.263058,100,76.00101,0.83,2.0,38.26,0.21,79.0,21.0,58.0,2.0,9.0,10.0,502.45,8.43,17.27,0.17,0.9
48.87014,100,76.74154,0.82,5.0,48.87,0.12,88.0,12.0,57.0,5.0,17.0,9.0,521.32,3.04,29.1,0.18,0.8
50.82759,100,77.586239,-1.0,4.0,50.83,0.15,85.0,15.0,57.0,12.0,6.0,10.0,549.11,6.6,23.42,0.12,0.69
40.505917,100,78.421873,0.79,1.0,40.51,0.17,83.0,17.0,56.0,10.0,6.0,11.0,485.22,10.91,12.75,0.21,0.81
45.63411,100,79.345661,0.85,3.0,45.63,0.13,87.0,13.0,63.0,8.0,9.0,7.0,297.62,7.57,19.79,0.15,0.79
58.348873,100,80.216849,0.85,6.0,58.35,0.12,88.0,12.0,62.0,12.0,4.0,10.0,467.91,10.18,16.67,0.15,0.87
42.73371,100,81.022319,0.7,4.0,42.73,0.14,86.0,14.0,56.0,9.0,8.0,13.0,580.66,9.86,17.06,0.3,0.81
59.17802,100,81.945043,-1.0,7.0,59.18,0.14,86.0,14.0,61.0,10.0,6.0,9.0,475.58,7.58,23.5,0.05,0.74
58.11615,100,82.819307,0.93,2.0,58.12,0.14,86.0,14.0,63.0,8.0,7.0,8.0,408.86,6.36,23.34,0.07,0.87
35.386986,100,83.495766,0.72,2.0,35.39,0.18,82.0,18.0,54.0,9.0,11.0,8.0,558.48,7.83,19.91,0.28,0.81
58.636135,100,84.408123,-1.0,7.0,58.64,0.13,87.0,13.0,55.0,14.0,10.0,8.0,351.22,1.79,24.08,0.16,0.61
